,date,sub_category,word,freq
0,2024-09-27,도로/교통,일,18
1,2024-09-27,도로/교통,월,10
2,2024-09-27,도로/교통,운영,8
3,2024-09-27,도로/교통,수,7
4,2024-09-27,도로/교통,안전,7
5,2024-09-27,도로/교통,도로,6
6,2024-09-27,도로/교통,운행,5
7,2024-09-27,도로/교통,차,5
8,2024-09-27,도로/교통,자율,5
9,2024-09-27,도로/교통,명,4
10,2024-09-27,도로/교통,코레일,4
11,2024-09-27,도로/교통,부정승차,4
12,2024-09-27,도로/교통,철도,4
13,2024-09-27,도로/교통,운임,4
14,2024-09-27,도로/교통,징검다리,4
15,2024-09-27,보안/해킹,정보,17
16,2024-09-27,보안/해킹,개인,15
17,2024-09-27,보안/해킹,프랑스,11
18,2024-09-27,보안/해킹,정책,10
19,2024-09-27,보안/해킹,일,10
20,2024-09-27,보안/해킹,자유,9
21,2024-09-27,보안/해킹,피트니스,9
22,2024-09-27,보안/해킹,점핑,9
23,2024-09-27,보안/해킹,정보위,8
24,2024-09-27,보안/해킹,위,7
25,2024-09-27,보안/해킹,협의회,7
26,2024-09-27,보안/해킹,개최,6
27,2024-09-27,보안/해킹,협약,6
28,2024-09-27,보안/해킹,보호,6
29,2024-09-27,보안/해킹,쉴더스,6
30,2024-09-27,언론,기자,6
31,2024-09-27,언론,연합뉴스,4
32,2024-09-27,언론,해외,3
33,2024-09-27,언론,연수,3
34,2024-09-27,언론,여성,3
35,2024-09-27,언론,협회,3
36,2024-09-27,언론,일,3
37,2024-09-27,언론,언론,3
38,2024-09-27,언론,육아,2
39,2024-09-27,언론,휴직,2
40,2024-09-27,언론,한국일보,2
41,2024-09-27,언론,유감,2
42,2024-09-27,언론,황,2
43,2024-09-27,언론,사장,2
44,2024-09-27,언론,내정,2
45,2024-09-27,음식/맛집,일,11
46,2024-09-27,음식/맛집,배달,8
47,2024-09-27,음식/맛집,산업,6
48,2024-09-27,음식/맛집,프랜차이즈,6
49,2024-09-27,음식/맛집,활동,6
50,2024-09-27,음식/맛집,원,4
51,2024-09-27,음식/맛집,명,4
52,2024-09-27,음식/맛집,대표,4
53,2024-09-27,음식/맛집,월,4
54,2024-09-27,음식/맛집,지위,4
55,2024-09-27,음식/맛집,신고,4
56,2024-09-27,음식/맛집,한국,4
57,2024-09-27,음식/맛집,협회,4
58,2024-09-27,음식/맛집,신라면,4
59,2024-09-27,음식/맛집,성게,4
60,2024-09-27,패션/뷰티,브랜드,7
61,2024-09-27,패션/뷰티,일,6
62,2024-09-27,패션/뷰티,스토어,5
63,2024-09-27,패션/뷰티,패션,4
64,2024-09-27,패션/뷰티,에이블리,4
65,2024-09-27,패션/뷰티,파리,3
66,2024-09-27,패션/뷰티,팝업,3
67,2024-09-27,패션/뷰티,오픈,3
68,2024-09-27,패션/뷰티,버버리,3
69,2024-09-27,패션/뷰티,뷰티,3
70,2024-09-27,패션/뷰티,드라마,3
71,2024-09-27,패션/뷰티,신민아,3
72,2024-09-27,패션/뷰티,주얼리,3
73,2024-09-27,패션/뷰티,다이소,3
74,2024-09-27,패션/뷰티,켈리,2
75,2024-09-28,도로/교통,노선,4
76,2024-09-28,도로/교통,박람회,3
77,2024-09-28,도로/교통,회,3
78,2024-09-28,도로/교통,집코노미,2
79,2024-09-28,도로/교통,관람객,2
80,2024-09-28,도로/교통,한국도로공사,2
81,2024-09-28,도로/교통,일,2
82,2024-09-28,도로/교통,솔트레이크시티,2
83,2024-09-28,도로/교통,도로공사,1
84,2024-09-28,도로/교통,안전,1
85,2024-09-28,도로/교통,컷,1
86,2024-09-28,도로/교통,부스,1
87,2024-09-28,도로/교통,고속도,1
88,2024-09-28,도로/교통,기술,1
89,2024-09-28,도로/교통,눈길,1
90,2024-09-28,보안/해킹,인증,3
91,2024-09-28,보안/해킹,봇,2
92,2024-09-28,보안/해킹,버튼,1
93,2024-09-28,보안/해킹,클릭,1
94,2024-09-28,보안/해킹,뿐,1
95,2024-09-28,보안/해킹,개인,1
96,2024-09-28,보안/해킹,정보,1
97,2024-09-28,보안/해킹,인터넷,1
98,2024-09-28,보안/해킹,웹,1
99,2024-09-28,보안/해킹,사이트,1
100,2024-09-28,보안/해킹,회원,1
101,2024-09-28,보안/해킹,가입,1
102,2024-09-28,보안/해킹,시,1
103,2024-09-28,보안/해킹,로봇,1
104,2024-09-28,보안/해킹,사람,1
105,2024-09-28,언론,일,7
106,2024-09-28,언론,방송,5
107,2024-09-28,언론,법,5
108,2024-09-28,언론,것,3
109,2024-09-28,언론,군,3
110,2024-09-28,언론,뉴스,3
111,2024-09-28,언론,수박,3
112,2024-09-28,언론,언어,3
113,2024-09-28,언론,사장,3
114,2024-09-28,언론,국회,2
115,2024-09-28,언론,위원회,2
116,2024-09-28,언론,국민,2
117,2024-09-28,언론,힘,2
118,2024-09-28,언론,일명,2
119,2024-09-28,언론,년,2
120,2024-09-28,음식/맛집,막걸리,5
121,2024-09-28,음식/맛집,일,5
122,2024-09-28,음식/맛집,제주,4
123,2024-09-28,음식/맛집,향토음식,4
124,2024-09-28,음식/맛집,요리,4
125,2024-09-28,음식/맛집,제품,3
126,2024-09-28,음식/맛집,음식,3
127,2024-09-28,음식/맛집,맛집,3
128,2024-09-28,음식/맛집,휴게소,3
129,2024-09-28,음식/맛집,술,3
130,2024-09-28,음식/맛집,흑백,3
131,2024-09-28,음식/맛집,요리사,3
132,2024-09-28,음식/맛집,팔도,2
133,2024-09-28,음식/맛집,도시락,2
134,2024-09-28,음식/맛집,칸쵸타드,2
135,2024-09-28,패션/뷰티,일,6
136,2024-09-28,패션/뷰티,팝업,5
137,2024-09-28,패션/뷰티,스토어,5
138,2024-09-28,패션/뷰티,점,5
139,2024-09-28,패션/뷰티,유니클로,5
140,2024-09-28,패션/뷰티,것,4
141,2024-09-28,패션/뷰티,동대문,4
142,2024-09-28,패션/뷰티,로제,4
143,2024-09-28,패션/뷰티,곱슬머리,3
144,2024-09-28,패션/뷰티,여성,3
145,2024-09-28,패션/뷰티,브랜드,3
146,2024-09-28,패션/뷰티,솔티페블,3
147,2024-09-28,패션/뷰티,오픈,3
148,2024-09-28,패션/뷰티,소희,3
149,2024-09-28,패션/뷰티,때문,2
150,2024-09-29,도로/교통,서울,6
151,2024-09-29,도로/교통,만,6
152,2024-09-29,도로/교통,억,5
153,2024-09-29,도로/교통,것,5
154,2024-09-29,도로/교통,일,5
155,2024-09-29,도로/교통,교통,5
156,2024-09-29,도로/교통,주,5
157,2024-09-29,도로/교통,간,4
158,2024-09-29,도로/교통,회,4
159,2024-09-29,도로/교통,강남역,3
160,2024-09-29,도로/교통,역,3
161,2024-09-29,도로/교통,이름,3
162,2024-09-29,도로/교통,지하철,3
163,2024-09-29,도로/교통,국토,3
164,2024-09-29,도로/교통,대,3
165,2024-09-29,보안/해킹,정보,21
166,2024-09-29,보안/해킹,개인,18
167,2024-09-29,보안/해킹,일,8
168,2024-09-29,보안/해킹,보호,6
169,2024-09-29,보안/해킹,명,6
170,2024-09-29,보안/해킹,공모전,5
171,2024-09-29,보안/해킹,유출,5
172,2024-09-29,보안/해킹,지자체,5
173,2024-09-29,보안/해킹,년,5
174,2024-09-29,보안/해킹,인력,5
175,2024-09-29,보안/해킹,스팸,5
176,2024-09-29,보안/해킹,불법,4
177,2024-09-29,보안/해킹,유통,4
178,2024-09-29,보안/해킹,슬로건,4
179,2024-09-29,보안/해킹,점핑,4
180,2024-09-29,언론,신문,5
181,2024-09-29,언론,인사,4
182,2024-09-29,언론,서울,4
183,2024-09-29,언론,씨,4
184,2024-09-29,언론,일본,4
185,2024-09-29,언론,영상,3
186,2024-09-29,언론,일,3
187,2024-09-29,언론,동아일보,3
188,2024-09-29,언론,여사,3
189,2024-09-29,언론,총리,3
190,2024-09-29,언론,방심위,3
191,2024-09-29,언론,뉴라이트,2
192,2024-09-29,언론,강사,2
193,2024-09-29,언론,사과,2
194,2024-09-29,언론,김승욱,2
195,2024-09-29,음식/맛집,일,15
196,2024-09-29,음식/맛집,만,6
197,2024-09-29,음식/맛집,씨,6
198,2024-09-29,음식/맛집,계란,5
199,2024-09-29,음식/맛집,명,5
200,2024-09-29,음식/맛집,흑백,5
201,2024-09-29,음식/맛집,요리사,5
202,2024-09-29,음식/맛집,등,4
203,2024-09-29,음식/맛집,회,4
204,2024-09-29,음식/맛집,수산물,4
205,2024-09-29,음식/맛집,세계,3
206,2024-09-29,음식/맛집,가격,3
207,2024-09-29,음식/맛집,년,3
208,2024-09-29,음식/맛집,남도,3
209,2024-09-29,음식/맛집,음식,3
210,2024-09-29,책,일,4
211,2024-09-29,책,언어,3
212,2024-09-29,책,소설가,2
213,2024-09-29,책,에드나 오브라이언,2
214,2024-09-29,책,아일랜드,2
215,2024-09-29,책,문학,2
216,2024-09-29,책,평가,2
217,2024-09-29,책,그,2
218,2024-09-29,책,인간,2
219,2024-09-29,책,파괴,2
220,2024-09-29,책,배척,2
221,2024-09-29,책,트럼프,2
222,2024-09-29,책,짓,2
223,2024-09-29,책,일본,2
224,2024-09-29,책,시장,2
225,2024-09-29,컴퓨터,인감,4
226,2024-09-29,컴퓨터,발급,4
227,2024-09-29,컴퓨터,개발,4
228,2024-09-29,컴퓨터,서비스,4
229,2024-09-29,컴퓨터,계약,4
230,2024-09-29,컴퓨터,정보,3
231,2024-09-29,컴퓨터,기술,3
232,2024-09-29,컴퓨터,증명서,3
233,2024-09-29,컴퓨터,온라인,3
234,2024-09-29,컴퓨터,일,3
235,2024-09-29,컴퓨터,기업,3
236,2024-09-29,컴퓨터,품질,3
237,2024-09-29,컴퓨터,활용,3
238,2024-09-29,컴퓨터,디지털,3
239,2024-09-29,컴퓨터,전문,3
240,2024-09-29,패션/뷰티,일,7
241,2024-09-29,패션/뷰티,패션,6
242,2024-09-29,패션/뷰티,브랜드,5
243,2024-09-29,패션/뷰티,그거,5
244,2024-09-29,패션/뷰티,파리,4
245,2024-09-29,패션/뷰티,원,4
246,2024-09-29,패션/뷰티,콜렉션,4
247,2024-09-29,패션/뷰티,단독,3
248,2024-09-29,패션/뷰티,컬렉션,3
249,2024-09-29,패션/뷰티,클렌징,3
250,2024-09-29,패션/뷰티,폼,3
251,2024-09-29,패션/뷰티,아워셀브스,3
252,2024-09-29,패션/뷰티,셔츠,3
253,2024-09-29,패션/뷰티,신민아,3
254,2024-09-29,패션/뷰티,주머니,3
255,2024-09-30,도로/교통,일,17
256,2024-09-30,도로/교통,월,13
257,2024-09-30,도로/교통,공제,10
258,2024-09-30,도로/교통,보험,9
259,2024-09-30,도로/교통,출시,8
260,2024-09-30,도로/교통,교통,7
261,2024-09-30,도로/교통,상품,7
262,2024-09-30,도로/교통,배달,6
263,2024-09-30,도로/교통,통제,6
264,2024-09-30,도로/교통,행진,6
265,2024-09-30,도로/교통,도로,5
266,2024-09-30,도로/교통,시간,5
267,2024-09-30,도로/교통,억,5
268,2024-09-30,도로/교통,원,5
269,2024-09-30,도로/교통,명,5
270,2024-09-30,보안/해킹,정보,42
271,2024-09-30,보안/해킹,개인,30
272,2024-09-30,보안/해킹,일,26
273,2024-09-30,보안/해킹,보호,20
274,2024-09-30,보안/해킹,기술,19
275,2024-09-30,보안/해킹,한국,11
276,2024-09-30,보안/해킹,한글,11
277,2024-09-30,보안/해킹,기업,10
278,2024-09-30,보안/해킹,국내,10
279,2024-09-30,보안/해킹,인증,10
280,2024-09-30,보안/해킹,코스타리카,10
281,2024-09-30,보안/해킹,앱수트,10
282,2024-09-30,보안/해킹,데이터,9
283,2024-09-30,보안/해킹,라온시큐어,9
284,2024-09-30,보안/해킹,수,8
285,2024-09-30,언론,일,39
286,2024-09-30,언론,방송,29
287,2024-09-30,언론,방심위,23
288,2024-09-30,언론,서울,21
289,2024-09-30,언론,통신,19
290,2024-09-30,언론,심의,18
291,2024-09-30,언론,위원회,17
292,2024-09-30,언론,한국경제신문,16
293,2024-09-30,언론,언론,16
294,2024-09-30,언론,등,14
295,2024-09-30,언론,윤석열,14
296,2024-09-30,언론,창간,14
297,2024-09-30,언론,주년,14
298,2024-09-30,언론,행사,13
